"id","value","label","scope","topic","statement","period","sourceDate","sourceDateType","sample","source","sourceUrl","caveat","checked","permalink"
"stats-pages-total-rd","31","Unique referring domains held by sunnypatel.co.uk's stats and data pages","Own site","Page type","sunnypatel.co.uk's 5 stats and data pages held 31 unique referring domains combined, each page's count deduplicated across its own live URL variants.","Checked 24 September 2026","2026-09-24","Published","Ahrefs API v3, referring-domains, mode=exact, sunnypatel.co.uk.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Own-site dataset, the author's own site. Page age and promotion not controlled for.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#page-types"
"other-pages-total-rd","24","Referring domains held by all other non-homepage page types combined","Own site","Page type","Articles, service pages, landing pages and portfolio pages on sunnypatel.co.uk held 24 referring domains combined across 21 pages, summed from Ahrefs' per-page counts.","Checked 24 September 2026","2026-09-24","Published","Ahrefs API v3, pages-by-backlinks, sunnypatel.co.uk.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","A sum of per-page counts, not checked for a domain repeating across two different pages in the sum. Page age and promotion not controlled for.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#page-types"
"tools-rd","0","Referring domains found for any tool URL","Own site","Page type","No tool URL appeared with a referring domain in this pull.","Checked 24 September 2026","2026-09-24","Published","Ahrefs API v3, pages-by-backlinks, sunnypatel.co.uk.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Own-site dataset.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#page-types"
"articles-rd","8","Referring domains held by general articles and guides","Own site","Page type","6 article/guide pages on sunnypatel.co.uk held 8 referring domains combined, summed from Ahrefs' per-page counts.","Checked 24 September 2026","2026-09-24","Published","Ahrefs API v3, pages-by-backlinks, sunnypatel.co.uk.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Own-site dataset.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#page-types"
"services-rd","5","Referring domains held by service pages","Own site","Page type","4 service pages on sunnypatel.co.uk held 5 referring domains combined, summed from Ahrefs' per-page counts.","Checked 24 September 2026","2026-09-24","Published","Ahrefs API v3, pages-by-backlinks, sunnypatel.co.uk.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Own-site dataset.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#page-types"
"landing-rd","9","Referring domains held by landing pages","Own site","Page type","9 root-level landing pages on sunnypatel.co.uk held 9 referring domains combined, one each.","Checked 24 September 2026","2026-09-24","Published","Ahrefs API v3, pages-by-backlinks, sunnypatel.co.uk.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Own-site dataset.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#page-types"
"portfolio-rd","2","Referring domains held by portfolio pages","Own site","Page type","2 portfolio pages on sunnypatel.co.uk held 2 referring domains combined, one each.","Checked 24 September 2026","2026-09-24","Published","Ahrefs API v3, pages-by-backlinks, sunnypatel.co.uk.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Own-site dataset.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#page-types"
"sunnypatel-seo-stats-refdomains","12","Unique referring domains to sunnypatel.co.uk's UK SEO statistics page","Own site","Statistics pages","sunnypatel.co.uk/blog/seo-statistics-uk/ held 12 unique referring domains, deduplicated across all live URL variants.","Checked 24 September 2026","2026-09-24","Published","Ahrefs API v3, referring-domains, mode=exact, sunnypatel.co.uk.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Own-site dataset.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#real-numbers"
"sunnypatel-local-seo-stats-refdomains","8","Unique referring domains to sunnypatel.co.uk's local SEO statistics page","Own site","Statistics pages","sunnypatel.co.uk/blog/local-seo-statistics/ held 8 unique referring domains, deduplicated across all live URL variants.","Checked 24 September 2026","2026-09-24","Published","Ahrefs API v3, referring-domains, mode=exact, sunnypatel.co.uk.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Own-site dataset.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#real-numbers"
"sunnypatel-ai-search-stats-refdomains","7","Unique referring domains to sunnypatel.co.uk's AI search statistics page","Own site","Statistics pages","sunnypatel.co.uk/blog/ai-search-statistics/ held 7 unique referring domains, deduplicated across all live URL variants.","Checked 24 September 2026","2026-09-24","Published","Ahrefs API v3, referring-domains, mode=exact, sunnypatel.co.uk.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Own-site dataset.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#real-numbers"
"panel-dr-gte-2","10 of 28","Panel sites with a Domain Rating of 2 or higher","Portfolio","Method","10 of the 28 owned portfolio sites have a Domain Rating of 2 or higher.","Pulled 24 September 2026","2026-09-24","Published","Ahrefs API v3, batch-analysis, n=28.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Panel context for the Method section.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#method"
"panel-spike-share","6 of 9","Reviewed panel sites with a month of referring-domain growth over 130","Portfolio","Method","6 of the 9 reviewed panel sites had a single month where referring domains increased by more than 130, within the 12 months to 24 September 2026.","12 months to 24 September 2026","2026-09-24","Published","Ahrefs API v3, refdomains-history, reviewed subset n=9.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Small n; reviewed subset selected by Domain Rating, not randomly.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#why-rd-misleads"
"panel-anchor-flag-share","8 of 9","Reviewed panel sites with a flagged anchor pattern","Portfolio","Method","The saved anchor review flagged sampled anchors containing backlink-sales terms or references to the same SEO vendor on 8 of 9 reviewed sites.","Pulled 24 September 2026","2026-09-24","Published","Ahrefs API v3, site-explorer-anchors, reviewed subset n=9.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Sample of the largest anchor clusters per site, not exhaustive. Anchor wording cannot prove who placed a link.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#why-rd-misleads"
"panel-median-dr","0.6","Median Domain Rating across the 28-site portfolio panel","Portfolio","Method","Median Domain Rating across 28 owned portfolio sites was 0.6.","Pulled 24 September 2026","2026-09-24","Published","Ahrefs API v3, batch-analysis, mode=subdomains, protocol=both, n=28.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Domain Rating is Ahrefs' own third-party metric, not a Google ranking signal.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#method"
"panel-median-refdomains","601.5","Median referring domains across the 28-site portfolio panel","Portfolio","Method","Median referring domains across the same 28-site panel was 601.5.","Pulled 24 September 2026","2026-09-24","Published","Ahrefs API v3, batch-analysis, n=28.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Includes the anchor pattern described in the post; not a link building benchmark on its own.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#method"
"panel-median-dofollow-share","10.5%","Median dofollow share of referring domains across the panel","Portfolio","Method","Median dofollow share was 10.5%, calculated per site as dofollow referring domains divided by total referring domains, then taking the median of those 28 ratios.","Pulled 24 September 2026","2026-09-24","Published","Ahrefs API v3, batch-analysis, n=28.","Sunny Patel","https://sunnypatel.co.uk/blog/link-building-statistics/","Panel context for the Method section.","2026-09-24","https://sunnypatel.co.uk/blog/link-building-statistics/#method"
