"id","value","label","scope","topic","statement","period","sourceDate","sourceDateType","sample","source","sourceUrl","caveat","checked","permalink"
"uk-zero-click","69.5%","UK Google searches ending without a click","UK","Clicks","69.5% of UK browser-based Google searches ended without a click in SparkToro's analysis of Similarweb data.","January–April 2026 in the shared method; UK period not separately confirmed","2026-06-16","Published","Similarweb UK desktop and mobile-web panel; panel size not disclosed.","SparkToro / Similarweb","https://sparktoro.com/blog/zero-click-searches-highest-in-the-uk-lowest-in-germany-and-france-has-the-most-efficient-searchers/","Excludes the Google mobile app. The shared method labels its period US. Zero-click activity does not establish satisfaction or isolate AI Overview effects.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#uk-zero-click"
"uk-open-web-clicks","232","Open-web clicks per 1,000 UK Google searches","UK","Clicks","SparkToro estimated 232 clicks to the open web per 1,000 UK Google searches, including both organic and paid results.","January–April 2026 in the shared method; UK period not separately confirmed","2026-06-16","Published","Same browser-based Similarweb UK panel.","SparkToro / Similarweb","https://sparktoro.com/blog/zero-click-searches-highest-in-the-uk-lowest-in-germany-and-france-has-the-most-efficient-searchers/","This is not 232 organic visits. Multiple-result clicks may be undercounted. Alphabet-owned destinations are excluded from the open-web measure.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#uk-open-web-clicks"
"google-referral-share","91.75%","Google's share of UK search referrals","UK","Market","Google generated 91.75% of UK search-engine referrals in Statcounter's August 2026 all-platform sample.","August 2026","2026-09-12","Snapshot accessed","Search-referred page views on sites with Statcounter measurement.","Statcounter","https://gs.statcounter.com/search-engine-market-share/all/united-kingdom#monthly-202608-202608-bar","Measures clicked referrals, not searches or people. Zero-click activity is absent. August data remain within Statcounter's 45-day revision window.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#google-referral-share"
"bing-desktop-share","10.38%","Bing's share of UK desktop search referrals","UK","Market","Bing generated 10.38% of UK desktop search-engine referrals in Statcounter's August 2026 sample.","August 2026","2026-09-12","Snapshot accessed","Search-referred desktop page views on Statcounter-network sites.","Statcounter","https://gs.statcounter.com/search-engine-market-share/desktop/united-kingdom#monthly-202608-202608-bar","Publisher mix affects the sample. This is a device-specific referral share, not the share of UK adults using Bing. Recent data can be revised.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#bing-desktop-share"
"bing-mobile-share","0.48%","Bing's share of UK mobile search referrals","UK","Market","Bing generated 0.48% of UK mobile search-engine referrals in Statcounter's August 2026 sample.","August 2026","2026-09-12","Snapshot accessed","Search-referred mobile page views on Statcounter-network sites.","Statcounter","https://gs.statcounter.com/search-engine-market-share/mobile/united-kingdom#monthly-202608-202608-bar","Compare with the desktop figure only as referral shares. These values do not reveal the device split of all UK searches. Recent data can be revised.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#bing-mobile-share"
"google-query-share",">90%","Google's share of UK traditional search queries","UK","Market","Google handled more than 90% of UK traditional general-search queries throughout January 2018 to June 2025, according to the CMA.","January 2018–June 2025","2025-10-10","Published","CMA analysis of traditional general-search providers' query data.","Competition and Markets Authority","https://assets.publishing.service.gov.uk/media/68e8b2eb187483de54d76711/Appendix_B_-_market_outcomes.pdf","Exact shares are confidential. This historical query measure is distinct from Statcounter referral shares and does not establish a September 2026 share.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#google-query-share"
"uk-search-ad-spend","£17.9bn","UK search advertising expenditure","UK","Market","UK search advertising expenditure reached £17.9bn in 2025, representing 44% of digital ad spend in IAB UK's study.","Calendar year 2025","2026-03-03","Published","IAB UK / Oliver Wyman revenue submissions, public figures and market modelling.","IAB UK / Oliver Wyman","https://www.iabuk.com/news-article/digital-adspend-2025-uks-digital-ad-market-reaches-ps405bn","Paid search expenditure is not SEO agency revenue. The methodology changed in 2025; use the restated prior-year series for growth comparisons.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#uk-search-ad-spend"
"uk-search-use","96%","UK online adults who used search engines","UK","People","96% of UK online adults reported using a search engine in the previous year in Ofcom's autumn 2025 survey.","29 September–28 November 2025","2026-04-02","Published","UK online adults aged 16+; 7,029 online respondents in the wider survey.","Ofcom","https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/media-literacy-research/adults/adults-media-use-and-attitudes-2026/adults-media-use-and-attitudes-2026-report.pdf#page=25","Self-reported annual use measures reach, not frequency or query volume. Survey changes limit year-on-year comparisons.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#uk-search-use"
"uk-sponsored-recognition","52%","Search users selecting only the paid-placement explanation","UK","People","52% of UK search-engine users selected only the correct paid-placement explanation in Ofcom's Google results test.","29 September–28 November 2025","2026-04-02","Published","6,731 search-engine users aged 16+; a walking-boots search example.","Ofcom","https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/media-literacy-research/adults/adults-media-use-and-attitudes-2026/adults-media-use-and-attitudes-2026-report.pdf#page=25","66% selected the paid-placement answer at all; 52% selected only that answer. This prompted test measures ad recognition, not organic CTR.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#uk-sponsored-recognition"
"uk-ai-use","54%","UK adults reporting AI-tool use","UK","AI","54% of UK adults reported using AI tools in Ofcom's autumn 2025 survey.","29 September–28 November 2025","2026-04-02","Published","3,768 UK adults aged 16+ in survey Module 1.","Ofcom","https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/media-literacy-research/adults/adults-media-use-and-attitudes-2026/adults-media-use-and-attitudes-2026-report.pdf#page=9","Includes uses beyond search. Self-reported AI adoption is not an AI-search market share.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#uk-ai-use"
"uk-ai-summary-reading","75%","UK online adults reading AI search summaries","UK","AI","75% of UK online adults said they read AI-generated search summaries at least sometimes in Ofcom's autumn 2025 survey.","29 September–28 November 2025","2026-04-02","Published","3,515 online adults aged 16+ in Module 1; prompted with a summary example.","Ofcom","https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/media-literacy-research/adults/adults-media-use-and-attitudes-2026/adults-media-use-and-attitudes-2026-report.pdf#page=12","Reported reading is not the frequency of summaries appearing, a citation rate or a measure of resulting clicks.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#uk-ai-summary-reading"
"us-ai-organic-clicks","8% vs 15%","Conventional-result clicks with and without AI summaries","US","Clicks","Pew observed conventional-result clicks after 8% of US Google visits with an AI summary versus 15% without one.","Behaviour: March 2025; results captured 7–17 April 2025","2025-07-22","Published","900 US adults; 68,879 unique Google searches.","Pew Research Center","https://www.pewresearch.org/short-reads/2025/07/22/google-users-are-less-likely-to-click-on-links-when-an-ai-summary-appears-in-the-results/","Observational groups had different queries. Results were captured after the original searches. The comparison does not isolate a causal AI-summary effect.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#us-ai-organic-clicks"
"us-ai-source-clicks","1%","AI-summary visits producing a source-link click","US","AI","Only 1% of visits to Google results with an AI summary produced a click on a cited summary link in Pew's US sample.","Behaviour: March 2025; results captured 7–17 April 2025","2025-07-22","Published","900 US adults; 12,593 observed searches with an AI summary.","Pew Research Center","https://www.pewresearch.org/short-reads/2025/07/22/google-users-are-less-likely-to-click-on-links-when-an-ai-summary-appears-in-the-results/","Pew matched the next visited URL against the first three summary sources. A URL appearing in both places was counted as an AI-summary click.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#us-ai-source-clicks"
"us-local-shortlist","72%","Local searchers considering three or fewer businesses","US","Local","72% of BrightLocal's active US local-searcher panel considered three or fewer businesses before choosing.","Fieldwork date not disclosed","2026-07-15","Published","1,227 US consumers who searched online for a local business within three months.","BrightLocal","https://www.brightlocal.com/research/consumer-search-behavior-decisions/","Self-reported behaviour from a screened vendor survey. It is neither UK consumer behaviour nor observed Local Pack click-through rate.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#us-local-shortlist"
"portfolio-position-one","5.96%","CTR in the portfolio's rounded position-one bucket","Portfolio","Clicks","The rounded position-one bucket in Sunny Patel's portfolio study recorded 43 clicks from 721 impressions: 5.96% CTR.","9 April–7 July 2026","2026-07-10","Dataset updated","Five query-property rows in this bucket; 2,615 qualifying rows across 53 Search Console properties in the full study.","Sunny Patel: Google CTR study","https://sunnypatel.co.uk/blog/google-ctr-study/","Small convenience sample. The extraction has no country filter or explicit brand exclusion. Property overlap was not verified. These are period-average position buckets, not fixed rankings or a UK benchmark.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#portfolio-position-one"
"portfolio-page-one-clicks","86.9%","Sample clicks from rounded position buckets 1–10","Portfolio","Clicks","Rounded position buckets 1–10 produced 1,448 of 1,667 clicks in Sunny Patel's portfolio dataset, or 86.9%.","9 April–7 July 2026","2026-07-10","Dataset updated","53 qualifying Search Console properties; returned query rows with at least 50 impressions; bucketed GSC aggregates.","Sunny Patel: Google CTR study","https://sunnypatel.co.uk/blog/google-ctr-study/","Calculated from the published aggregates. API extraction caps each property at 5,000 rows without pagination. Property overlap was not verified. Position buckets do not prove that moving a query causes the same gain.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#portfolio-page-one-clicks"
"portfolio-ai-sessions","4,717","Identified AI referral sessions across 12 sites","Portfolio","AI","Sunny Patel's published 12-site portfolio study reports 4,717 AI referral sessions from 28 May to 26 August 2026.","28 May–26 August 2026","2026-08-26","Dataset updated","GA4 session-source matching on the same 12 selected portfolio sites.","Sunny Patel: AI referral study","https://sunnypatel.co.uk/blog/ai-referral-traffic-study/","Sites were selected for high AI traffic. No country restriction or all-traffic denominator is supplied. Referral sessions do not measure citations, people or incremental sales.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#portfolio-ai-sessions"
"portfolio-chatgpt-share","90.1%","ChatGPT's share of identified portfolio AI sessions","Portfolio","AI","ChatGPT and the grouped OpenAI source accounted for 4,250 of the study's 4,717 identified AI referral sessions, or 90.1%.","28 May–26 August 2026","2026-08-26","Dataset updated","Same selected 12-site GA4 portfolio sample.","Sunny Patel: AI referral study","https://sunnypatel.co.uk/blog/ai-referral-traffic-study/","A share of identified AI referrals in this selected portfolio, not AI market share. Source attribution can miss untagged visits. Published totals are not an independent analytics audit.","2026-09-12","https://sunnypatel.co.uk/blog/seo-statistics-uk/#portfolio-chatgpt-share"
