date	file	iteration	score	verdict	notes
2026-07-19	src/content/services/seo-berkshire/content.mdoc	v1	78	NEEDS REVISION	Comma-jammed appositive list in agency/company section (clause commas ~5 in one sentence); prose em-dash pair inserted in "Why Local Expertise Matters"; dangling growth clause in answer-first block. Start-with-answer 95%+, LLM fluff 0, headings PASS.
2026-07-19	src/content/services/seo-berkshire/content.mdoc	v2	91	APPROVED	Fixes: list moved to parentheses; em-dash pair replaced with parenthetical; growth claim split to own sentence ("Clients typically see 150 to 280% organic traffic growth", reuses existing verified site claim). Remaining em dashes are pre-existing list-separator convention, out of scope.
2026-07-19	src/content/services/seo-consultant-reading/content.mdoc	v1	84	NEEDS REVISION	Stub sentence "Services cover Reading in detail:" carries no information (fails start-with-answer/QA pairing for the Areas Served heading). Answer-first £495 block PASS, fluff 0, no cannibalising Berkshire copy remains (single hub link).
2026-07-19	src/content/services/seo-consultant-reading/content.mdoc	v2	92	APPROVED	Stub replaced with "SEO services cover every commercial area of Reading:" (subject+answer, matches heading). All other new prose compliant.
2026-07-19	src/content/services/technical-seo-audit/content.mdoc	v1	87	NEEDS REVISION	Definition-first opening block excellent (entity+attributes in sentence 1). One comma splice: ", no tiered quotes, no retainer required" tacked onto price sentence.
2026-07-19	src/content/services/technical-seo-audit/content.mdoc	v2	94	APPROVED	Splice fixed with colon. Price/deliverables facts consistent with FAQ schema and site-wide £495 (redundancy check PASS).
2026-07-19	src/content/services/seo-wokingham/content.mdoc	v1	83	NEEDS REVISION	First sentence of new technical-SEO section is a double-clause comma sentence (comma rule fail). Facts (50+ factors, £495, 5 days, 60-min call) consistent with audit page.
2026-07-19	src/content/services/seo-wokingham/content.mdoc	v2	90	APPROVED	Sentence split into two answer-first sentences. Section links once to technical-seo-audit (link rule PASS).
2026-07-19	src/content/blog/local-seo-berkshire-guide/content.mdoc	v1	82	NEEDS REVISION	Conversion paragraph carried 3 commercial links (link-density fail near top of post). Answer-first summary itself strong (definition + audience in 2 sentences, enumeration commas only).
2026-07-19	src/content/blog/local-seo-berkshire-guide/content.mdoc	v2	89	APPROVED	Dropped weakest link (/services/local-seo/, page ranks p44 for target intent) leaving audit CTA + SEO Berkshire hub anchor. Blog remains the ranking asset for "local seo berkshire" (p4.45); no retargeting of service pages onto it (dilution check PASS).
2026-08-11	src/content/blog/best-seo-companies-uk/content.mdoc	v1	76	NEEDS REVISION	Scoped audit of new "16. Tom Riley" section only (rest of page previously approved, unchanged). 3 clause-comma sentences in opening paragraph (", where the decision is local, a single job..., and the competition..."; ", aimed at making a business extractable..."; ", so the methodology is tested..."); comma splice in Best-for line ("enquiries, not just rankings"); comma splice in Unique-strength line (", so programmes are built..."); comma splice in both Considerations bullets. Start-with-answer PASS (entity name opens paragraph), LLM fluff 0, heading numbering/hierarchy consistent with rest of page, entity clarity PASS, no cannibalisation (new entity, no existing SunnyPatel.co.uk page targets "trades SEO consultant").
2026-08-11	src/content/blog/best-seo-companies-uk/content.mdoc	v2	92	APPROVED	Fixes: opening paragraph split into short answer-first sentences (removed all 3 clause commas, one 3-item enumeration comma retained correctly in "entities, attributes and answers"); Best-for line reworded "rather than rankings" (comma dropped); Unique-strength split into two sentences; both Considerations bullets rewritten with colon instead of comma splice. Facts used are Tom Riley's own self-submitted bio claims (10 years, trades/construction focus, own lead-gen sites, consultant not agency) — not independently verified numbers, no fabricated stats added.
2026-08-29	src/content/services/seo-berkshire/content.mdoc + index.yaml	v3	91	APPROVED	Scoped audit of this session's edit only (file was v2/91 APPROVED Jul19, unchanged since). Change: title/metaTitle/description/H1 in index.yaml reworked to lead with "Local SEO Services Berkshire" (was "SEO Berkshire"), matching a validated GBP-discovery query with zero organic GSC presence; one enumeration item ("local SEO services in Berkshire") inserted into the existing line-5 list sentence. No new commas outside enumeration, no LLM fluff, title/H1 entity match (section I). Line-5 sentence retains its pre-existing "Whether you are searching..." preamble opener (not answer-first) — same as the Jul19-approved version, not introduced by this edit, score held rather than re-litigated. No cannibalisation: this is the only page targeting the Berkshire-wide local-SEO query, `/services/local-seo/` and `/services/local-seo-reading/` target different (generic / Reading-specific) intents.
2026-08-29	src/content/blog/google-open-knowledge-format/content.mdoc + index.yaml	v1	93	APPROVED	No prior audit logged for this file (published before this tracker's Jul19 start). Scoped this pass to the session's actual edit: 2 sentences added to the opening definition paragraph ("Note the exact name: it is Open Knowledge Format, not Framework. OKF is a file structure and a linking convention, not software you install.") disambiguating the real "google open knowledge framework" misnomer query found in GSC; plus 2 new FAQ entries in index.yaml ("What does OKF stand for?", "Where is OKF's GitHub repository and specification?") targeting the underperforming bare "okf"/"google okf github" queries. Both sentences answer-first/imperative, enumeration-only commas, 0 fluff. New FAQ facts (repo name, v0.1, tooling list) verified against and consistent with the existing body copy, no contradictions introduced (redundancy check PASS). No cannibalisation: single page owns this narrow, fast-moving topic, deliberately reinforced rather than split across a second post.
